,precision,recall,f1-score,support
Jeep Wrangler SUV 2012,0.95,0.8837209302325582,0.9156626506024096,43.0
Lamborghini Aventador Coupe 2012,0.88,0.5116279069767442,0.6470588235294118,43.0
Lamborghini Diablo Coupe 2001,0.64,0.7272727272727273,0.6808510638297872,44.0
Lamborghini Gallardo LP 570-4 Superleggera 2012,0.9285714285714286,0.7428571428571429,0.8253968253968254,35.0
Lamborghini Reventon Coupe 2008,0.5918367346938775,0.8055555555555556,0.6823529411764706,36.0
Land Rover LR2 SUV 2012,0.7941176470588235,0.6428571428571429,0.7105263157894737,42.0
Land Rover Range Rover SUV 2012,0.6862745098039216,0.8333333333333334,0.7526881720430108,42.0
Lincoln Town Car Sedan 2011,0.8823529411764706,0.7692307692307693,0.821917808219178,39.0
MINI Cooper Roadster Convertible 2012,0.9166666666666666,0.9166666666666666,0.9166666666666666,36.0
Maybach Landaulet Convertible 2012,0.7575757575757576,0.8620689655172413,0.8064516129032258,29.0
Mazda Tribute SUV 2011,0.6829268292682927,0.7777777777777778,0.7272727272727273,36.0
McLaren MP4-12C Coupe 2012,0.8048780487804879,0.75,0.7764705882352941,44.0
Mercedes-Benz 300-Class Convertible 1993,0.6774193548387096,0.875,0.7636363636363637,48.0
Mercedes-Benz C-Class Sedan 2012,0.8461538461538461,0.7333333333333333,0.7857142857142857,45.0
Mercedes-Benz E-Class Sedan 2012,0.4915254237288136,0.6744186046511628,0.5686274509803921,43.0
Mercedes-Benz S-Class Sedan 2012,0.5789473684210527,0.75,0.6534653465346535,44.0
Mercedes-Benz SL-Class Coupe 2009,0.6571428571428571,0.6388888888888888,0.647887323943662,36.0
Mercedes-Benz Sprinter Van 2012,0.6071428571428571,0.8292682926829268,0.7010309278350515,41.0
Mitsubishi Lancer Sedan 2012,0.6170212765957447,0.6170212765957447,0.6170212765957447,47.0
Nissan 240SX Coupe 1998,0.7346938775510204,0.782608695652174,0.7578947368421053,46.0
Nissan Juke Hatchback 2012,0.8333333333333334,0.6818181818181818,0.75,44.0
Nissan Leaf Hatchback 2012,0.85,0.8095238095238095,0.8292682926829268,42.0
Nissan NV Passenger Van 2012,0.7894736842105263,0.7894736842105263,0.7894736842105263,38.0
Plymouth Neon Coupe 1999,0.8947368421052632,0.7727272727272727,0.8292682926829268,44.0
Porsche Panamera Sedan 2012,0.6097560975609756,0.5813953488372093,0.5952380952380952,43.0
Ram C_V Cargo Van Minivan 2012,0.875,0.6829268292682927,0.7671232876712328,41.0
Rolls-Royce Ghost Sedan 2012,0.5853658536585366,0.631578947368421,0.6075949367088608,38.0
Rolls-Royce Phantom Drophead Coupe Convertible 2012,0.6129032258064516,0.6333333333333333,0.6229508196721312,30.0
Rolls-Royce Phantom Sedan 2012,0.6976744186046512,0.6818181818181818,0.6896551724137931,44.0
Scion xD Hatchback 2012,0.75,0.7317073170731707,0.7407407407407407,41.0
Spyker C8 Convertible 2009,0.7714285714285715,0.6,0.675,45.0
Spyker C8 Coupe 2009,0.6071428571428571,0.40476190476190477,0.4857142857142857,42.0
Suzuki Aerio Sedan 2007,0.6097560975609756,0.6578947368421053,0.6329113924050633,38.0
Suzuki Kizashi Sedan 2012,0.6296296296296297,0.7391304347826086,0.68,46.0
Suzuki SX4 Hatchback 2012,0.7567567567567568,0.6666666666666666,0.7088607594936709,42.0
Suzuki SX4 Sedan 2012,0.6206896551724138,0.45,0.5217391304347826,40.0
Tesla Model S Sedan 2012,0.5882352941176471,0.7894736842105263,0.6741573033707865,38.0
Toyota 4Runner SUV 2012,0.7631578947368421,0.725,0.7435897435897436,40.0
Toyota Camry Sedan 2012,0.673469387755102,0.7674418604651163,0.717391304347826,43.0
Toyota Corolla Sedan 2012,0.6944444444444444,0.5813953488372093,0.6329113924050633,43.0
Toyota Sequoia SUV 2012,0.825,0.868421052631579,0.8461538461538461,38.0
Volkswagen Beetle Hatchback 2012,0.813953488372093,0.8333333333333334,0.8235294117647058,42.0
Volkswagen Golf Hatchback 1991,0.5967741935483871,0.8043478260869565,0.6851851851851852,46.0
Volkswagen Golf Hatchback 2012,0.8695652173913043,0.46511627906976744,0.6060606060606061,43.0
Volvo 240 Sedan 1993,0.7916666666666666,0.8444444444444444,0.8172043010752689,45.0
Volvo C30 Hatchback 2012,0.7894736842105263,0.7317073170731707,0.759493670886076,41.0
Volvo XC90 SUV 2007,0.5370370370370371,0.6744186046511628,0.5979381443298969,43.0
smart fortwo Convertible 2012,0.7631578947368421,0.725,0.7435897435897436,40.0
accuracy,0.6871035940803383,0.6871035940803383,0.6871035940803383,0.6871035940803383
macro avg,0.7039443311775059,0.6881432906229614,0.6882020256875028,8041.0
weighted avg,0.7030882072189162,0.6871035940803383,0.6872883553905367,8041.0
